ID,Title,Artist,Genre,Year,Location,Duration
21,MOONLIGHT SERENADE,GLENN MILLER,1990s,1954,Glenn Miller-Moonlight Serenade.mp3,202
22,CHANGING PARTNERS,KAY STARR,LATIN,1954,Kay Starr-Changing Partners.mp3,174
23,THE ISLE OF INNISFREE,BING CROSBY,R&B,1954,Bing Crosby-The Isle Of Innisfree.mp3,184
24,BELL BOTTOM BLUES,ALMA COGAN,JAZZ,1954,Alma Cogan-Bell Bottom Blues.mp3,154
25,THE KID'S LAST FIGHT,FRANKIE LAINE,DISCO,1954,Frankie Laine-The Kid's Last Fight.mp3,203
26,SECRET LOVE,DORIS DAY,DISCO,1954,Doris Day-Secret Love.mp3,160
27,WALKIN' MY WAY BACK HOME,JOHNNIE RAY,LOVE SONGS,1954,Johnnie Ray-Walkin' My Way Back Home.mp3,144
28,THE HAPPY WANDERER,"STARGAZERS, THE",COUNTRY,1954,"Stargazers, The-Happy Wanderer.mp3",146
29,WHERE THE WINDS BLOW,FRANKIE LAINE,HIP HOP & RAP,1954,Frankie Laine-Where The Winds Blow.mp3,154
30,MOTHER NATURE AND FATHER TIME,NAT KING COLE,HIP HOP & RAP,1954,Nat King Cole-Mother Nature And Father Time.mp3,193
31,MOBILE,RAY BURNS,2010s,1955,Ray Burns-Mobile.mp3,175
32,LONELY BALLERINA,MONTOVANI,1950s,1955,Montovani-Lonely Ballerina.mp3,170
33,TEACH ME TONIGHT,"DE CASTRO SISTERS, THE",1960s,1955,"De Casto Sisters, The-Teach Me Tonight.mp3",168
34,A BLOSSOM FELL,DICKIE VALENTINE,POP,1955,Dickie Valentine-A Blossom Fell.mp3,143
35,LET ME GO LOVER,JOAN WEBBER,DISCO,1955,Joan Weber-Let Me Go Lover.mp3,144
36,MAJORCA,PETULA CLARK,JAZZ,1955,Petula Clark-Majorca.mp3,177
37,I'LL WALK WITH GOD,MARIO LANZA,ROCK,1955,Mario Lanza-I'll Walk With God.mp3,171
38,TENDERLY,NAT KING COLE,INDIE,1955,Nat King Cole-Tenderly.mp3,176
39,LET ME GO LOVER,DEAN MARTIN,1990s,1955,Dean Martin-Let Me Go Lover.mp3,182
40,LET ME GO LOVER,RUBY MURRAY,LIVE,1955,Ruby Murray-Let Me Go Lover.mp3,152
41,SEE YOU LATER ALLIGATOR,BILL HALEY & HIS COMETS,LATIN,1956,Bill Haley & His Comets-See You Later Alligator.mp3,163
42,LITTLE SERENADE,EDDIE CALVERT,2010s,1956,Eddie Calvert-Little Serenade.mp3,184
43,TUMBLING TUMBLEWEEDS,SLIM WHITMAN,JAZZ,1956,Slim Whitman-Tumbling Tumbleweeds.mp3,143
44,THE POOR PEOPLE OF PARIS,WINIFRED ATWELL,LOVE SONGS,1956,Winifred Atwell-The Poor People Of Paris.mp3,121
45,THEME FROM 'THE THREEPENNY OPERA',"DICK HYMAN TRIO, THE",MOTOWN & SOUL,1956,"Dick Hyman Trio, The-Theme From 'The Threepenny Opera'.mp3",138
46,MORE,JIMMY YOUNG,2010s,1956,Jimmy Young-More.mp3,140
47,THE TROUBLE WITH HARRY,ALFI AND HARRY,ROCK,1956,Alfi And Harry-The Trouble With Harry.mp3,141
48,THEME FROM 'THE THREEPENNY OPERA',BILLY VAUGHN,LOVE SONGS,1956,Billy Vaughn-Theme From 'The Three Penny Opera'.mp3,146
49,JIMMY UNKNOWN,LITA ROZA,POP,1956,Lita Roza-Jimmy Unknown.mp3,182
50,WHATEVER LOLA WANTS,ALMA COGAN,1950s,1956,Alma Cogan-Whatever Lola Wants.mp3,166
51,DON'T CRY DADDY,ELVIS PRESLEY,MOTOWN & SOUL,1957,Elvis Presley-Don't Cry Daddy.mp3,167
52,BY THE LIGHT OF THE SILVERY MOON,LITTLE RICHARD,REGGAE,1957,Little Richard-By The Light Of The Silvery Moon.mp3,124
53,THE WISDOM OF A FOOL,NORMAN WISDOM,JAZZ,1957,Norman Wisdom-The Wisdom Of A Fool.mp3,162
54,THE FAITHFUL HUSSAR (DON'T CRY MY LOVE),VERA LYNN,ROCK,1957,Vera Lynn-The Faithful Hussar (Don't Cry My Love).mp3,177
55,THE MAN WHO PLAYS THE MANDOLINO,DEAN MARTIN,2000s,1957,Dean Martin-The Man Who Plays The Mandolino.mp3,169
56,CUMBERLAND GAP,"VIPERS SKIFFLE GROUP, THE",CLASSICAL,1957,"Vipers Skiffle Group, The-Cumberland Gap.mp3",116
57,THE WISDOM OF A FOOL,RONNIE CARROLL,2000s,1957,Ronnie Carroll-The Wisdom Of A Fool.mp3,188
58,BLUE MONDAY,FATS DOMINO,REGGAE,1957,Fats Domino-Blue Monday.mp3,135
59,MANGOS,ROSEMARY CLOONEY,CLUB,1957,Rosemary Clooney-Mangos.mp3,154
60,WILLIE CAN,ALMA COGAN,1960s,1957,Alma Cogan-Willie Can.mp3,129
61,THE PURPLE PEOPLE EATER,SHEB WOOLEY,LIVE,1958,Sheb Wooley-The Purple People Eater.mp3,134
62,ZAMBESI,EDDIE CALVERT,CLUB,1958,Eddie Calvert-Zambesi.mp3,163
63,RAVE ON,BUDDY HOLLY,1950s,1958,Buddy Holly-Rave On.mp3,110
64,SUGAR MOON,PAT BOONE,LIVE,1958,Pat Boone-Sugar Moon.mp3,116
65,THE PURPLE PEOPLE EATER,JACKIE DENNIS,2000s,1958,Jackie Dennis-The Purple People Eater.mp3,140
66,I'M SORRY I MADE YOU CRY,CONNIE FRANCIS,2000s,1958,Connie Francis-I'm Sorry I Made You Cry.mp3,149
67,TORERO-CHA CHA CHA,RENATO CARASONE & HIS SEXTET,COUNTRY,1958,Renato Carosone-Torero (Cha Cha Cha).mp3,183
68,SICK AND TIRED,FATS DOMINO,ROCK,1958,Fats Domino-Sick And Tired.mp3,154
69,TOM HARK,TED HEATH & HIS MUSIC,LOVE SONGS,1958,Ted Heath & His Music-Tom Hark.mp3,121
70,WHEN THE BOYS TALK ABOUT THE GIRLS,VALERIE CARR,R&B,1958,Valerie Carr-When The Boys Talk About The Girls.mp3,159
71,DONNA,MARTY WILDE,CLUB,1959,Marty Wilde-Donna.mp3,132
72,C'MON EVERYBODY,EDDIE COCHRAN,COUNTRY,1959,Eddie Cochran-C'mon Everybody.mp3,114
73,VENUS,DICKIE VALENTINE,R&B,1959,Dickie Valentine-Venus.mp3,150
74,SING LITTLE BIRDIE,PEARL CARR & TEDDY JOHNSON,REGGAE,1959,Pearl Carr & Teddy Johnson-Sing Little Birdie.mp3,112
75,BELOVED BE FAITHFUL,TEDDY JOHNSON,MOTOWN & SOUL,1959,Teddy Johnson-Beloved Be Faithful .mp3,183
76,CIAO CIAO BAMBINA,MARINO MARINI & HIS QUARTET,R&B,1959,Marino Marini & His Quartet-Ciao Ciao Bambina.mp3,158
77,CHARLIE BROWN,"COASTERS, THE",1990s,1959,"Coasters, The-Charlie Brown.mp3",141
78,CIAO CIAO BAMBINA,DOMENICO MODUGNO,1980s,1959,Domenico Moduqno-Ciao Ciao Bambina.mp3,187
79,THE STORY OF MY LOVE,CONWAY TWITTY,CLUB,1959,Conway Twitty-The Story Of My Love.mp3,136
80,THE GIRL CAN'T HELP IT,LITTLE RICHARD,ROCK,1959,Little Richard-The Girl Can't Help It.mp3,151
81,LOOKING HIGH HIGH HIGH,BRYAN JOHNSON,JAZZ,1960,Bryan Johnson-Looking High High High.mp3,173
82,JOHNNY ROCCO,MARTY WILDE,COUNTRY,1960,Marty Wilde-Johnny Rocco.mp3,148
83,BIG BEAT BOOGIE,BERT WEEDON,CLUB,1960,Bert Weedon-Big Beat Boogie.mp3,116
84,WILD ONE,BOBBY RYDELL,HIP HOP & RAP,1960,Bobby Rydell-Wild One.mp3,142
85,SINK THE BISMARCK,DON LANG,1990s,1960,Don Lang-Sink The Bismarck.mp3,173
86,NO HIDING PLACE,KEN MACKINTOSH,MOTOWN & SOUL,1960,Ken Mackintosh-No Hiding Place.mp3,138
87,HOUND DOG MAN,FABIAN,LOVE SONGS,1960,Fabian-Hound Dog Man.mp3,137
88,LISTEN TO THE OCEAN,NINA & FREDERICK,CLASSICAL,1960,Nina & Frederik-Listen To The Ocean.mp3,182
89,TEEN ANGEL,MARK DINNING,ROCK & ROLL,1960,Mark Dinning-Teen Angel.mp3,162
90,MY HEART,GENE VINCENT,ROCK,1960,Gene Vincent-My Heart.mp3,150
91,NIGHT FEVER,ADAM GARCIA,DISCO,1961,Adam Garcia-Night Fever.mp3,215
92,RUN RUN RUN,JO JO GUNNE,CLUB,1961,Jo Jo Gunne-Run Run Run.mp3,154
93,MY LITTLE BABY,"OUTLAWS, THE",HIP HOP & RAP,1961,"Outlaws, The-My Little Baby.mp3",113
94,BLUE MOON,"MARCELS, THE",MOTOWN & SOUL,1961,"Marcels, The-Blue Moon.mp3",135
95,KICKING UP THE LEAVES,MARK WYNTER,1950s,1961,Mark Wynter-Kicking Up The Leaves.mp3,122
96,ANOTHER SLEEPLESS NIGHT,JIMMY CLANTON,1970s,1961,Jimmy Clanton-Another Sleepless Night.mp3,130
97,WHY,ANTHONY NEWLEY,2010s,1961,Anthony Newley-Why.mp3,146
98,MY GIRL,"TEMPTATIONS, THE",POP,1961,"Temptations, The-My Girl.mp3",177
99,THE PRICE OF LOVE,"EVERLY BROTHERS, THE",INDIE,1961,"Everly Brothers, The-The Price Of Love.mp3",127
100,MY HEART HAS A MIND OF ITS OWN,CONNIE FRANCIS,2010s,1961,Connie Francis-My Heart Has A Mind Of Its Own.mp3,153
101,IF EVERY DAY WAS LIKE CHRISTMAS,ELVIS PRESLEY,POP,1962,Elvis Presley-If Every Day Was Like Christmas.mp3,174
102,CODE OF LOVE,MIKE SARNE,ROCK & ROLL,1962,Mike Sarne-Code Of Love.mp3,133
103,KISS ME HONEY HONEY KISS ME,SHIRLEY BASSEY,MOTOWN & SOUL,1962,Shirley Bassey-Kiss Me Honey Honey Kiss Me.mp3,145
104,IF HE TELLS YOU,ADAM FAITH,CLUB,1962,Adam Faith-If He Tells You.mp3,134
105,YOUNG EMOTIONS,RICKY NELSON,INDIE,1962,Ricky Nelson-Young Emotions.mp3,155
106,TELSTAR,"TORNADOS, THE",1990s,1962,"Tornados, The-Telstar.mp3",197
107,TOMORROW RISING,CLIFF RICHARD,1950s,1962,Cliff Richard-Tomorrow Rising.mp3,164
108,THE LOCO-MOTION,LITTLE EVA,R&B,1962,Little Eva-The Locomotion.mp3,144
109,SHEILA,TOMMY ROE,1980s,1962,Tommy Roe-Sheila.mp3,130
110,MARY JANE,DEL SHANNON,DISCO,1962,Del Shannon-Mary Jane.mp3,147
111,COME OUTSIDE,MIKE SARNE & WENDY RICHARD,ROCK,1963,Mike Sarne & Wendy Richard-Come Outside.mp3,172
112,LOSING YOU,BRENDA LEE,POP,1963,Brenda Lee-Losing You.mp3,153
113,COUNT ON ME,JULIE GRANT,CLASSICAL,1963,Julie Grant-Count On Me.mp3,136
114,OUR DAY WILL COME,RUBY & THE ROMANTICS,LATIN,1963,Ruby & The Romantics-Our Day Will Come.mp3,153
115,WALK LIKE A MAN,"FOUR SEASONS, THE",1980s,1963,"Four Seasons, The-Walk Like A Man.mp3",137
116,WHAT WILL MY MARY SAY,JOHNNY MATHIS,MOTOWN & SOUL,1963,Johnny Mathis-What Will My Mary Say.mp3,191
117,NOBODY'S DARLIN' BUT MINE,FRANK IFIELD,2010s,1963,Frank Ifield-Nobody's Darlin' But Mine.mp3,149
118,DON'T YOU THINK IT'S TIME,"MIKE BERRY & OUTLAWS, THE",POP,1963,"Mike Berry & Outlaws, The-Don't You Think It's Time.mp3",102
119,SOME OTHER GUY,"BIG THREE, THE",IRISH,1963,"Big Three, The-Some Other Guy.mp3",169
120,HE'S SO FINE,"CHIFFONS, THE",LOVE SONGS,1963,"Chiffons, The-He's So Fine.mp3",114
121,MY WORLD OF BLUE,KARL DENVER,CLUB,1964,Karl Denver-My World Of Blue.mp3,161
122,TELL ME WHEN,"APPLEJACKS, THE",CLUB,1964,"Applejacks, The-Tell Me When.mp3",141
123,I WONDER,"CRYSTALS, THE",IRISH,1964,"Crystals, The-I Wonder.mp3",172
124,KING OF KINGS,EZZ RECO & THE LAUNCHERS WITH BOYSIE GRANT,LIVE,1964,Ezz Reco & The Launchers With Boysie Grant-King Of Kings.mp3,168
125,MOVE OVER DARLING,DORIS DAY,HIP HOP & RAP,1964,Doris Day-Move Over Darling.mp3,217
126,A WORLD WITHOUT LOVE,PETER & GORDON,CLASSICAL,1964,Peter & Gordon-A World Without Love.mp3,159
127,POOR ME,ADAM FAITH,COUNTRY,1964,Adam Faith-Poor Me.mp3,107
128,RUNAWAY,DEL SHANNON,HIP HOP & RAP,1964,Del Shannon-Runaway.mp3,140
129,POLK SALAD ANNIE,ELVIS PRESLEY,R&B,1964,Elvis Presley-Polk Salad Annie.mp3,252
130,MY BOY LOLLIPOP,MILLIE,CLASSICAL,1964,Millie-My Boy Lollipop.mp3,120
131,HOW LONG HAS IT BEEN,JIM REEVES,1950s,1965,Jim Reeves-How Long Has It Been.mp3,150
132,POOR MAN'S SON,"ROCKIN' BERRIES, THE",JAZZ,1965,"Rockin' Berries, The-Poor Man's Son.mp3",126
133,LONG LIVE LOVE,SANDIE SHAW,ROCK & ROLL,1965,Sandie Shaw-Long Live Love.mp3,160
134,(YOU'VE) NEVER BEEN IN LOVE LIKE THIS BEFORE,UNIT FOUR PLUS TWO,LATIN,1965,Unit Four Plus Two-(You've) Never Been in Love Like This Before.mp3,154
135,IKO IKO,"DIXIE CUPS, THE",ROCK & ROLL,1965,"Dixie Cups, The-Iko Iko.mp3",122
136,WHEN THE MORNING SUN DRIES THE DEW,"QUIET FIVE, THE",CLASSICAL,1965,"Quiet Five, The-When Morning Sun Dries The Dew.mp3",197
137,TRAINS AND BOATS AND PLANES,BURT BACHARACH,1970s,1965,Burt Bacharach-Trains And Boats And Planes.mp3,163
138,WALK RIGHT BACK,"EVERLY BROTHERS, THE",IRISH,1965,"Everly Brothers, The-Walk Right Back.mp3",139
139,TRAINS AND BOATS AND PLANES,"BILLY J KRAMER & DAKOTAS, THE",LIVE,1965,"Billy J Kramer & Dakotas, The-Trains And Boats And Planes.mp3",170
140,MARIE,"BACHELORS, THE",POP,1965,"Bachelors, The-Marie.mp3",140
141,THINK SOMETIMES ABOUT ME,SANDIE SHAW,CLASSICAL,1966,Sandie Shaw-Think Sometimes About Me.mp3,142
142,YOU CAN'T HURRY LOVE,"SUPREMES, THE",1970s,1966,"Supremes, The-You Can't Hurry Love.mp3",162
143,MY FRIEND,ROY ORBISON,HIP HOP & RAP,1966,Roy Orbison-My Friend.mp3,160
144,RIP IT UP,ELVIS PRESLEY,REGGAE,1966,Elvis Presley-Rip It Up.mp3,116
145,WALK WITH FAITH IN YOUR HEART,"BACHELORS, THE",R&B,1966,"Bachelors, The-Walk With Faith In Your Heart.mp3",170
146,UNDER NEW MANAGEMENT,"BARRON KNIGHTS, THE",ROCK & ROLL,1966,"Barron Knights, The-Under New Management.mp3",366
147,DANCING IN THE STREET,MARTHA REEVES & THE VANDELLAS,1980s,1966,Martha Reeves & The Vandellas-Dancing In The Street.mp3,160
148,HEART,RITA PAVONE,R&B,1966,Rita Pavone-Heart.mp3,123
149,EAST WEST,HERMAN'S HERMITS,REGGAE,1966,Herman's Hermits-East West.mp3,117
150,SUNSHINE SUPERMAN,DONOVAN,CLUB,1966,Donovan-Sunshine Superman.mp3,300
151,GET BACK,"BEATLES, THE WITH BILLY PRESTON",1990s,1967,"Beatles, The With Billy Preston-Get Back.mp3",192
152,THE OTHER MAN'S GRASS (IS ALWAYS GREENER),PETULA CLARK,1950s,1967,Petula Clark-The Other Man's Grass (Is Always Greener).mp3,172
153,HANDBAGS AND GLADRAGS,CHRIS FARLOWE,MOTOWN & SOUL,1967,Chris Farlowe-Handbags And Gladrags.mp3,235
154,EMERALD CITY,"SEEKERS, THE",1960s,1967,"Seekers, The-Emerald City.mp3",160
155,BLACK VELVET BAND,"DUBLINERS, THE",POP,1967,"Dubliners, The-Black Velvet Band.mp3",221
156,PARADISE LOST,"HERD, THE",R&B,1967,"Herd, The-Paradise Lost.mp3",212
157,CHAIN OF FOOLS,ARETHA FRANKLIN,COUNTRY,1967,Aretha Franklin-Chain Of Fools.mp3,165
158,I DON'T BLAME YOU AT ALL,"SMOKEY ROBINSON & MIRACLES, THE",1950s,1967,Smokey Robinson & The Miracles-I Don't Blame You At All.mp3,188
159,I HEARD IT THROUGH THE GRAPEVINE,GLADYS KNIGHT & THE PIPS,1960s,1967,Gladys Knight & The Pips-I Heard It Through The Grapevine.mp3,170
160,BLUE WORLD,"MOODY BLUES, THE",1960s,1967,"Moody Blues, The-Blue World.mp3",313
161,BABY COME BACK,"EQUALS, THE",2010s,1968,"Equals, The-Baby Come Back.mp3",159
162,ALBATROSS,FLEETWOOD MAC,1950s,1968,Fleetwood Mac-Albatross.mp3,190
163,TOY,"CASUALS, THE",COUNTRY,1968,"Casuals, The-Toy.mp3",195
164,NIGHTS IN WHITE SATIN,"MOODY BLUES, THE",1970s,1968,"Moody Blues, The-Nights In White Satin.mp3",264
165,SON OF A PREACHER MAN,DUSTY SPRINGFIELD,ROCK & ROLL,1968,Dusty Springfield-Son Of A Preacher Man.mp3,144
166,OB-LA-DI OB-LA-DA,MARMALADE,1960s,1968,Marmalade-Ob La Di Ob La Da.mp3,179
167,ATLANTIS,DONOVAN,COUNTRY,1968,Donovan-Atlantis.mp3,198
168,STOP HER ON SIGHT (S.O.S.),EDWIN STARR,DISCO,1968,Edwin Starr-Stop Her On Sight (S.O.S).mp3,137
169,SOUL LIMBO,"BOOKER T & THE M.G,'S",LIVE,1968,"Booker T & The MG,'S-Soul Limbo.mp3",142
170,FOR ONCE IN MY LIFE,STEVIE WONDER,LOVE SONGS,1968,Stevie Wonder-For Once In My Life.mp3,169
171,I'M READY FOR YOUR LOVE,MARTHA REEVES & THE VANDELLAS,1990s,1969,Martha Reeves & The Vandellas-I'm Ready For Love.mp3,177
172,MAGICAL MYSTERY TOUR,"BEATLES, THE",2010s,1969,"Beatles, The-Magical Mystery Tour.mp3",171
173,MY SENTIMENTAL FRIEND,HERMAN'S HERMITS,ROCK,1969,Herman's Hermits-My Sentimental Friend.mp3,196
174,I'M LIVING IN SHAME,"DIANA ROSS & SUPREMES, THE",LOVE SONGS,1969,"Diana Ross & Supremes, The-I'm Livin' In Shame.mp3",175
175,AQUARIUS,"FIFTH DIMENSION, THE",ROCK & ROLL,1969,"Fifth Dimension, The-Aquarius.mp3",290
176,RING OF BRIGHT WATER,VAL DOONICAN,POP,1969,Val Doonican-Ring Of Bright Water.mp3,177
177,THE BOXER,SIMON & GARFUNKEL,REGGAE,1969,Simon & Garfunkel-The Boxer.mp3,295
178,THERE WON'T BE MANY COMING HOME,ROY ORBISON,INDIE,1969,Roy Orbison-There Won't Be Many Coming Home.mp3,167
179,GALVESTON,GLEN CAMPBELL,1980s,1969,Glen Campbell-Galveston.mp3,167
180,I SECOND THAT EMOTION,"SMOKEY ROBINSON & MIRACLES, THE",1960s,1969,Smokey Robinson & The Miracles-I Second That Emotion.mp3,166
181,SHE'S NOT YOU,ELVIS PRESLEY,ROCK,1970,Elvis Presley-She's Not You.mp3,132
182,YOU'RE SUCH A GOOD LOOKING WOMAN,JOE DOLAN,HIP HOP & RAP,1970,Joe Dolan-You're Such A Good Looking Woman.mp3,177
183,FAREWELL IS A LONELY SOUND,JIMMY RUFFIN,1990s,1970,Jimmy Ruffin-Farewell Is A Lonely Sound.mp3,174
184,EVERYBODY GET TOGETHER,"DAVE CLARK FIVE, THE",R&B,1970,"Dave Clark Five, The-Everybody Get Together.mp3",197
185,WHO DO YOU LOVE,JUICY LUCY,ROCK & ROLL,1970,Juicy Lucy-Who Do You Love.mp3,183
186,LET IT BE,"BEATLES, THE",2000s,1970,"Beatles, The-Let It Be.mp3",230
187,CAN'T HELP FALLING IN LOVE,ANDY WILLIAMS,1980s,1970,Andy Williams-Can't Help Falling In Love.mp3,192
188,PIED PIPER,BOB & MARCIA,CLUB,1970,Bob & Marcia-Pied Piper.mp3,164
189,I'LL GO ON HOPING,DES O'CONNOR,INDIE,1970,Des O'Connor-I'll Go On Hoping.mp3,144
190,MY WOMAN'S MAN,DAVE DEE,REGGAE,1970,Dave Dee-My Woman's Man.mp3,201
191,BANNER MAN,BLUE MINK,1990s,1971,Blue Mink-Banner Man.mp3,208
192,JOY TO THE WORLD,THREE DOG NIGHT,ROCK,1971,Three Dog Night-Joy To The World.mp3,215
193,LAZY BONES,JONATHAN KING,POP,1971,Jonathan King-Lazy Bones.mp3,136
194,CHIRPY CHIRPY CHEEP CHEEP,MIDDLE OF THE ROAD,LIVE,1971,Middle Of The Road-Chirpy Chirpy Cheep Cheep.mp3,178
195,THE TRACKS OF MY TEARS,"SMOKEY ROBINSON & MIRACLES, THE",1970s,1971,Smokey Robinson & The Miracles-The Tracks Of My Tears.mp3,182
196,YOUNG GIFTED AND BLACK,BOB & MARCIA,COUNTRY,1971,Bob & Marcia-Young Gifted And Black.mp3,182
197,SHE'S A LADY,TOM JONES,1970s,1971,Tom Jones-She's A Lady.mp3,173
198,CO-CO,"SWEET, THE",2000s,1971,"Sweet, The-Co Co.mp3",190
199,WHEN YOU ARE KING,WHITE PLAINS,CLUB,1971,White Plains-When You Are A King.mp3,170
200,DON'T LET IT DIE,HURRICANE SMITH,1960s,1971,Hurricane Smith-Don't Let It Die.mp3,156
201,METAL GURU,T REX,COUNTRY,1972,T Rex-Metal Guru.mp3,145
202,LADY ELEANOR,LINDISFARNE,LATIN,1972,Lindisfarne-Lady Eleanor.mp3,252
203,ROOF TOP SINGING,NEW WORLD,MOTOWN & SOUL,1972,New World-Roof Top Singing.mp3,262
204,VINCENT,DON MCLEAN,2000s,1972,Don McLean-Vincent.mp3,239
205,DOOBEDOOD'NDOOBE DOOBEDOOD'NDOOBE,DIANA ROSS,LATIN,1972,Diana Ross-Doobedood'ndoobe Doobedood'ndoobe.mp3,179
206,DON'T LET HIM TOUCH YOU,"ANGELETTES, THE",1990s,1972,"Angelettes, The-Don't Let Him Touch You.mp3",203
207,SONG SUNG BLUE,NEIL DIAMOND,IRISH,1972,Neil Diamond-Song Sung Blue.mp3,192
208,CALIFORNIA MAN,"MOVE, THE",2000s,1972,"Move, The-California Man.mp3",216
209,WHAT'S YOUR NAME,CHICORY TIP,LIVE,1972,Chicory Tip-What's Your Name.mp3,175
210,ROCKIN' ROBIN,MICHAEL JACKSON,IRISH,1972,Michael Jackson-Rockin' Robin.mp3,153
211,IN THE COUNTRY,"CLIFF RICHARD & SHADOWS, THE",JAZZ,1973,"Cliff Richard & Shadows, The-In The Country.mp3",163
212,SISTER JANE,NEW WORLD,POP,1973,New World-Sister Jane.mp3,219
213,CAN THE CAN,SUZI QUATRO,1990s,1973,Suzi Quatro-Can The Can.mp3,215
214,SUPERSTITION,STEVIE WONDER,MOTOWN & SOUL,1973,Stevie Wonder-Superstition.mp3,267
215,ARMED AND EXTREMELY DANGEROUS,FIRST CHOICE,CLASSICAL,1973,First Choice-Armed And Extremely Dangerous.mp3,167
216,YAH MO BE THERE,JAMES INGRAM & MICHAEL MCDONALD,INDIE,1973,James Ingram & Michael McDonald-Yah Mo Be There.mp3,272
217,RUBBER BULLETS,10CC,1950s,1973,10CC-Rubber Bullets.mp3,284
218,WALKING IN THE RAIN,"PARTRIDGE FAMILY, THE",IRISH,1973,"Partridge Family, The-Walking In The Rain.mp3",180
219,STUCK IN THE MIDDLE WITH YOU,STEALERS WHEEL,HIP HOP & RAP,1973,Stealers Wheel-Stuck In The Middle With You.mp3,202
220,VIVA LAS VEGAS,ELVIS PRESLEY,ROCK & ROLL,1973,Elvis Presley-Viva Las Vegas.mp3,145
221,BAND ON THE RUN,PAUL MCCARTNEY & WINGS,POP,1974,Paul McCartney & Wings-Band On The Run.mp3,312
222,"(WIN, PLACE OR SHOW) SHE'S A WINNER","INTRUDERS, THE",1990s,1974,"Intruders, The-(Win, Place Or Show) She's A Winner.mp3",147
223,BE THANKFUL FOR WHAT YOU'VE GOT,WILLIAM DEVAUGHN,HIP HOP & RAP,1974,William Devaughn-Be Thankful For What You've Got.mp3,432
224,MY GIRL BILL,JIM STAFFORD,1960s,1974,Jim Stafford-My Girl Bill.mp3,196
225,THE SIX TEENS,"SWEET, THE",2010s,1974,"Sweet, The-The Six Teens.mp3",243
226,WHEN WILL I SEE YOU AGAIN,"THREE DEGREES, THE",REGGAE,1974,"Three Degrees, The-When Will I See You Again.mp3",178
227,ZIP GUN BOOGIE,T REX,DISCO,1974,T Rex-Zip Gun Boogie.mp3,200
228,TONIGHT,"RUBETTES, THE",IRISH,1974,"Rubettes, The-Tonight.mp3",211
229,YOU MAKE ME FEEL BRAND NEW,"STYLISTICS, THE",ROCK,1974,"Stylistics, The-You Make Me Feel Brand New.mp3",340
230,THEME FROM TUBULAR BELLS,MIKE OLDFIELD,R&B,1974,Mike Oldfield-Theme From Tubular Bells.mp3,258
231,HOLD ME CLOSE,DAVID ESSEX,ROCK,1975,David Essex-Hold Me Close.mp3,232
232,OUT OF TIME,DAN MCCAFFERTY,MOTOWN & SOUL,1975,Dan McCafferty-Out Of Time.mp3,235
233,FATTIE BUM BUM,"DIVERSIONS, THE",REGGAE,1975,"Diversions, The-Fatty Bum Bum.mp3",172
234,WHO LOVES YOU,"FOUR SEASONS, THE",1990s,1975,"Four Seasons, The-Who Loves You.mp3",246
235,DO IT ANYWAY YOU WANNA,PEOPLE'S CHOICE,ROCK,1975,People's Choice-Do It Anyway You Wanna.mp3,184
